Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
96,NO,Sat Aug 24 12:26:20 EDT 2019,ACheckerResult.java,1566663980123,1839911,0,(I)2(N)1(I)2(N)1(I)1(F)4(N)1(I)1(F)8,0.2857142857142857,0.0,14.285714285714285,57.14285714285714,0.0,0.0,0.011419249592169658,0.0016313213703099511,0.0,0.0065252854812398045,0.0,0.0,0.0032626427406199023,16.0,[1566665434649 2 java - Find difference between two Strings - Stack Overflow https://stackoverflow.com/questions/12089967/find-difference-between-two-strings, 1566664783229 1 java string diff merge library - Google Search https://www.google.com/search?q=java+string+diff+merge+library&rlz=1C1GCEA_enUS808US808&oq=Java+string+diff+merge&aqs=chrome.1.69i57j33.13516j0j7&sourceid=chrome&ie=UTF-8, 1566665465194 2 How to perform string Diffs in Java? - Stack Overflow https://stackoverflow.com/questions/132478/how-to-perform-string-diffs-in-java, 1566665495044 4 google/diff-match-patch: Diff Match Patch is a high-performance library in multiple languages that manipulates plain text. https://github.com/google/diff-match-patch, 1566665069150 2 diff-match-patch java - Google Search https://www.google.com/search?q=diff-match-patch+java&rlz=1C1GCEA_enUS808US808&oq=diff-match-patch+java&aqs=chrome..69i57j0l5.6674j0j7&sourceid=chrome&ie=UTF-8, 1566665066049 1 Google Code Archive - Long-term storage for Google Code Project Hosting. https://code.google.com/archive/redirect/a/code.google.com/p/google-diff-match-patch?movedTo=https:%2F%2Fgithub.com%2Fgoogle%2Fdiff-match-patch, 1566665173415 4 diff-match-patch java jar - Google Search https://www.google.com/search?rlz=1C1GCEA_enUS808US808&ei=XmlhXfmnJOmkggeE8IvQCA&q=diff-match-patch+java+jar&oq=diff-match-patch+java+jar&gs_l=psy-ab.3...2263.5717..6796...2.2..0.201.897.5j2j1......0....1..gws-wiz.......0i71j0i13j0i13i30j0i22i30j0i13i5i30j0i8i13i10i30j33i160j33i10j0j0i22i10i30j33i299.1Dr41ihawbA&ved=0ahUKEwj5zr6Q-pvkAhVpkuAKHQT4AooQ4dUDCAo&uact=5, 1566665177231 2 Download diff_match_patch-current.jar : diff « d « Jar File Download http://www.java2s.com/Code/Jar/d/Downloaddiffmatchpatchcurrentjar.htm, 1566665495726 4 diff-match-patch/java at master · google/diff-match-patch https://github.com/google/diff-match-patch/tree/master/java, 1566665496988 5 diff-match-patch/java/src/name/fraser/neil/plaintext at master · google/diff-match-patch https://github.com/google/diff-match-patch/tree/master/java/src/name/fraser/neil/plaintext, 1566665497731 3 diff-match-patch/diff_match_patch.java at master · google/diff-match-patch https://github.com/google/diff-match-patch/blob/master/java/src/name/fraser/neil/plaintext/diff_match_patch.java]
97,NO,Sat Aug 24 12:57:24 EDT 2019,ACSVRequirementsSpecification.java,1566665844349,199643,0,(I)1(F)2(N)1(I)1(N)1(I)1(N)1(I)1(N)1(I)2(N)1(I)2(N)1(I)1(F)2(I)1(F)4,0.4166666666666667,0.0,25.0,33.33333333333333,0.0,0.0,0.12060301507537688,0.03015075376884422,0.0,0.04020100502512563,0.0,0.0,0.05025125628140704,0.0,[]
121,NO,Sat Aug 24 14:39:55 EDT 2019,AJavaMixedArithmeticInterpretedInputGraderDemoerAndTester.java,1566671995334,1036914,0,(D)9(F)4(I)1(F)2(D)3(I)3(F)1,0.17391304347826086,52.17391304347826,0.0,30.434782608695656,0.0,0.0,0.0222007722007722,0.0,0.011583011583011582,0.006756756756756757,0.0,0.0,0.003861003861003861,0.0,[]
122,NO,Sat Aug 24 14:58:49 EDT 2019,AJavaPalindromeBasedGraderDemoerAndTester.java,1566673129866,332749,0,(F)5(I)8(D)8,0.38095238095238093,38.095238095238095,0.0,23.809523809523807,0.0,0.0,0.06325301204819277,0.0,0.024096385542168676,0.015060240963855422,0.0,0.0,0.024096385542168676,0.0,[]
123,YES,Sat Aug 24 15:04:22 EDT 2019,AJavaPalindromeBasedGraderDemoerAndTester.java,1566673462641,68054,0,(D)3(I)1(D)3(I)1(D)6(F)2(I)1(D)5,0.13636363636363635,77.27272727272727,0.0,9.090909090909092,0.0,0.0,0.3235294117647059,0.0,0.25,0.029411764705882353,0.0,0.0,0.04411764705882353,0.0,[]
124,YES,Sat Aug 24 15:05:30 EDT 2019,ACSVRequirementsSpecification.java,1566673530704,29367,0,(D)15,0.0,100.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,[]
125,NO,Sat Aug 24 15:06:20 EDT 2019,AnAssignmenDataFolder.java,1566673580922,388375,0,(D)3(F)2(I)13(F)5(I)1,0.5833333333333334,12.5,0.0,29.166666666666668,0.0,0.0,0.061855670103092786,0.0,0.007731958762886598,0.01804123711340206,0.0,0.0,0.03608247422680412,0.0,[]
,NO,Sat Aug 24 15:06:20 EDT 2019,AnAssignmenDataFolder.java, 1566673580922
126,NO,Sat Aug 24 15:13:00 EDT 2019,ACSVRequirementsSpecification.java,1566673980125,482898,0,(I)1(F)3(I)18,0.8636363636363636,0.0,0.0,13.636363636363635,0.0,0.0,0.04564315352697095,0.0,0.0,0.006224066390041493,0.0,0.0,0.03941908713692946,1.0,[]
127,NO,Sat Aug 24 15:21:03 EDT 2019,ACSVRequirementsSpecification.java,1566674463086,2269239,0,(I)1(F)4(I)14(F)2(I)3,0.75,0.0,0.0,25.0,0.0,0.0,0.010577346848832084,0.0,0.0,0.002644336712208021,0.0,0.0,0.007933010136624064,0.0,[]
130,YES,Sat Aug 24 16:03:04 EDT 2019,ACSVRequirementsSpecification.java,1566676984445,214685,0,(I)3(N)3(I)4(R)1(I)1(N)2(I)2(N)4(I)5,0.6,0.0,36.0,0.0,0.0,0.0,0.11682242990654206,0.04205607476635514,0.0,0.0,0.0,0.004672897196261682,0.07009345794392523,0.0,[]
,NO,Sat Aug 24 16:03:04 EDT 2019,ACSVRequirementsSpecification.java, 1566676984445
132,NO,Sat Aug 24 16:06:39 EDT 2019,ACSVRequirementsSpecification.java,1566677199138,83997,0,(I)14(N)2(R)8(F)1,0.56,0.0,8.0,4.0,0.0,0.0,0.30120481927710846,0.024096385542168676,0.0,0.012048192771084338,0.0,0.0963855421686747,0.1686746987951807,0.0,[]
135,NO,Sat Aug 24 16:12:00 EDT 2019,RootFolderProxyLoaded.java,1566677520139,532093,0,(R)8(I)1(R)1(I)1(R)2(I)1(N)3(I)1(N)3(F)1(I)3,0.28,0.0,24.0,4.0,0.0,0.0,0.046992481203007516,0.011278195488721804,0.0,0.0018796992481203006,0.0,0.020676691729323307,0.013157894736842105,0.0,[]
,NO,Sat Aug 24 16:12:00 EDT 2019,RootFolderProxyLoaded.java, 1566677520139
137,NO,Sat Aug 24 16:24:48 EDT 2019,AFlexibleProject.java,1566678288559,211007,0,(I)1(F)2(I)20,0.9130434782608695,0.0,0.0,8.695652173913043,0.0,0.0,0.10900473933649289,0.0,0.0,0.009478672985781991,0.0,0.0,0.0995260663507109,0.0,[]
138,NO,Sat Aug 24 16:28:23 EDT 2019,AFlexibleProject.java,1566678503466,-221460,-221460,(I)11(F)2(I)2(N)8,0.5652173913043478,0.0,34.78260869565217,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
139,YES,Sat Aug 24 16:24:48 EDT 2019,AFlexibleProject.java,1566678288367,243244,0,(N)5(I)2(N)1(I)9(R)2(I)3,0.6363636363636364,0.0,27.27272727272727,0.0,0.0,0.0,0.09053497942386832,0.024691358024691357,0.0,0.0,0.0,0.00823045267489712,0.05761316872427984,0.0,[]
140,NO,Sat Aug 24 16:28:52 EDT 2019,AFlexibleProject.java,1566678532415,18962,0,(F)2(I)4(R)1(I)1(N)1(I)1(N)1(I)3(F)2(I)4,0.65,0.0,10.0,20.0,0.0,0.0,1.1111111111111112,0.1111111111111111,0.0,0.2222222222222222,0.0,0.05555555555555555,0.7222222222222222,0.0,[]
,NO,Sat Aug 24 16:28:52 EDT 2019,AFlexibleProject.java, 1566678532415
145,NO,Sat Aug 24 16:32:02 EDT 2019,AJavaMixedArithmeticIntrepretedInputGraderTester.java,1566678722038,50500,0,(I)1(N)1(I)1(F)2(N)1(I)9(D)6,0.5238095238095238,28.57142857142857,9.523809523809524,9.523809523809524,0.0,0.0,0.42,0.04,0.12,0.04,0.0,0.0,0.22,0.0,[]
,NO,Sat Aug 24 16:32:02 EDT 2019,AJavaMixedArithmeticIntrepretedInputGraderTester.java, 1566678722038
146,NO,Sat Aug 24 16:32:53 EDT 2019,Requirements.csv,1566678773094,220607,0,(D)1(N)1(I)1(D)8(F)2(N)1(I)1(D)3(N)1(I)1(F)3,0.13043478260869565,52.17391304347826,13.043478260869565,21.73913043478261,0.0,0.0,0.10454545454545454,0.013636363636363636,0.05454545454545454,0.022727272727272728,0.0,0.0,0.013636363636363636,1.0,[]
147,YES,Sat Aug 24 16:36:50 EDT 2019,Requirements.csv,1566679010280,397091,0,(F)3(D)9(F)1(D)4,0.0,76.47058823529412,0.0,23.52941176470588,0.0,0.0,0.042821158690176324,0.0,0.0327455919395466,0.010075566750629723,0.0,0.0,0.0,3.0,[]
158,NO,Sat Aug 24 17:15:27 EDT 2019,AFlexibleProject.java,1566681327577,144571,0,(F)10(I)1(D)8(I)5,0.25,33.33333333333333,0.0,41.66666666666667,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555,0.06944444444444445,0.0,0.0,0.041666666666666664,0.0,[]
159,NO,Sat Aug 24 17:18:20 EDT 2019,AClassesTextManager.java,1566681500331,287045,0,(I)15(F)1(N)2(F)1(I)5,0.8333333333333334,0.0,8.333333333333332,8.333333333333332,0.0,0.0,0.08362369337979095,0.006968641114982578,0.0,0.006968641114982578,0.0,0.0,0.06968641114982578,0.0,[]
178,NO,Sun Aug 25 09:01:59 EDT 2019,StaticConfigurationUtils.java,1566738119676,345056,0,(F)2(I)20,0.9090909090909091,0.0,0.0,9.090909090909092,0.0,0.0,0.06376811594202898,0.0,0.0,0.005797101449275362,0.0,0.0,0.057971014492753624,0.0,[]
179,NO,Sun Aug 25 09:08:04 EDT 2019,AConfigurationManager.java,1566738484906,163934,0,(I)2(F)1(N)2(F)2(N)1(F)1(I)3(F)1(N)1(F)2(N)9,0.2,0.0,52.0,28.000000000000004,0.0,0.0,0.15337423312883436,0.07975460122699386,0.0,0.04294478527607362,0.0,0.0,0.03067484662576687,0.0,[]
180,NO,Sun Aug 25 09:10:49 EDT 2019,AConfigurationManager.java,1566738649471,-296686,-296686,(N)4(F)1(I)2(F)1(N)1(F)1(I)3(F)2(I)5(F)1(N)2(I)1(N)1,0.44,0.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
,NO,Sun Aug 25 09:10:49 EDT 2019,AConfigurationManager.java, 1566738649471
181,NO,Sun Aug 25 09:06:45 EDT 2019,AConfigurationManager.java,1566738405953,388810,0,(N)7(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(N)1(F)1(I)1(F)1(N)1,0.28,0.0,36.0,8.0,0.0,0.0,0.06443298969072164,0.023195876288659795,0.0,0.005154639175257732,0.0,0.01804123711340206,0.01804123711340206,0.0,[]
182,NO,Sun Aug 25 09:13:20 EDT 2019,AConfigurationManager.java,1566738800431,215390,0,(F)1(I)11(F)2(I)2(F)2(I)3(F)2(I)1,0.7083333333333334,0.0,0.0,29.166666666666668,0.0,0.0,0.11162790697674418,0.0,0.0,0.03255813953488372,0.0,0.0,0.07906976744186046,0.0,[]
183,NO,Sun Aug 25 09:17:17 EDT 2019,AConfigurationManager.java,1566739037568,-21980,-21980,(I)2(F)1(N)1(F)1(I)5(F)2(I)1(F)2(R)1(I)1(R)1(I)1(R)1(I)1(R)2,0.4782608695652174,0.0,4.3478260869565215,26.08695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
185,NO,Sun Aug 25 09:18:50 EDT 2019,AConfigurationManager.java,1566739130510,88248,0,(I)2(F)2(I)8(R)1(I)3(R)1(I)3,0.8,0.0,0.0,10.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.18181818181818182,0.0,[]
,NO,Sun Aug 25 09:18:50 EDT 2019,AConfigurationManager.java, 1566739130510
188,YES,Sun Aug 25 09:22:29 EDT 2019,AConfigurationManager.java,1566739349008,109893,0,(I)6(R)1(I)2(R)1(I)1(R)1(I)7(R)1(I)2(R)1(I)1,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.22018348623853212,0.0,0.0,0.0,0.0,0.045871559633027525,0.1743119266055046,0.0,[]
